issue_id,asset_id,asset_type,component,failure_mode,first_failure_offset_hours,recurrence_interval_hours,pre_failure_window_hours,downtime_hours,snr_profile,signal_strength
ISS-49dfb738a8c3bf91,CMP-S04-L01-01,compressor,comp3,pressure_control_degradation,659,3435,45,5,medium,0.7028
ISS-7abda51917a720e5,CMP-S04-L01-01,compressor,comp2,drive_degradation,105,4909,35,12,medium,0.5534
ISS-633086043aeff462,CNC-S04-L01-01,cnc,HDF,heat_dissipation_failure,911,1903,15,4,medium,0.7738
ISS-bad41c260a8632c5,CNC-S04-L01-02,cnc,PWF,power_failure,585,1968,32,6,hard,0.3184
ISS-cbccf127b9f3b35f,CNC-S04-L01-03,cnc,PWF,power_failure,579,2397,30,4,hard,0.3828
ISS-3e4ccf39f4951d1f,CNC-S04-L01-03,cnc,OSF,overstrain_failure,987,1399,36,6,medium,0.6523
ISS-924e8b9d1169417a,CNC-S04-L01-04,cnc,TWF,tool_wear_failure,1022,1565,17,3,medium,0.6198
ISS-1f654cd366bb2329,CMP-S04-L02-01,compressor,comp3,pressure_control_degradation,51,3331,41,12,hard,0.2188
ISS-952cf8b7d093bc5b,CNC-S04-L02-01,cnc,PWF,power_failure,1009,1392,34,7,medium,0.671
ISS-de3d861d02f87aa2,CNC-S04-L02-01,cnc,HDF,heat_dissipation_failure,532,1728,34,4,medium,0.6496
ISS-cd36bb384e4eb529,CNC-S04-L02-02,cnc,PWF,power_failure,1152,1604,25,4,medium,0.6725
ISS-2b7894abb96a9fd7,CNC-S04-L02-03,cnc,HDF,heat_dissipation_failure,670,2377,18,2,medium,0.8067
ISS-c9ffd92f3d0cb5fc,CNC-S04-L02-04,cnc,HDF,heat_dissipation_failure,1098,1891,20,6,medium,0.5771
ISS-05d3cd03ece82eb9,CMP-S04-L03-01,compressor,comp1,electrical_anomaly,47,2934,33,12,easy,0.9614
ISS-e30f935009cec7b1,CMP-S04-L03-01,compressor,comp2,drive_degradation,814,2717,44,11,easy,0.9531
ISS-b69c81d1369f15e6,CNC-S04-L03-01,cnc,HDF,heat_dissipation_failure,723,1880,26,3,hard,0.2555
ISS-9cde3516c132a905,CNC-S04-L03-02,cnc,TWF,tool_wear_failure,527,1033,24,2,medium,0.7353
ISS-c7b4a1875a400048,CNC-S04-L03-03,cnc,OSF,overstrain_failure,532,1522,14,2,medium,0.6624
ISS-14a39c01017654bd,CNC-S04-L03-04,cnc,PWF,power_failure,946,1970,24,5,medium,0.7089
ISS-87de1d45ef831793,CMP-S04-L04-01,compressor,comp2,drive_degradation,800,2446,43,5,hard,0.2457
ISS-d7dd84367be92279,CNC-S04-L04-01,cnc,PWF,power_failure,379,1221,19,6,easy,0.9507
ISS-a35af22b520b9c17,CNC-S04-L04-02,cnc,PWF,power_failure,498,1496,13,4,medium,0.7398
ISS-ce850ef276bca16b,CNC-S04-L04-03,cnc,OSF,overstrain_failure,437,1441,32,5,easy,1.0062
ISS-bc7da362e9d6c673,CNC-S04-L04-04,cnc,HDF,heat_dissipation_failure,146,1191,14,3,medium,0.7107
ISS-09773a6ce3fcac49,CMP-S04-L05-01,compressor,comp4,bearing_degradation,506,3998,27,8,medium,0.8045
ISS-4cbe8fe1c869620f,CNC-S04-L05-01,cnc,PWF,power_failure,112,1064,31,5,medium,0.713
ISS-c297620393846075,CNC-S04-L05-01,cnc,HDF,heat_dissipation_failure,72,2280,30,8,medium,0.6228
ISS-4fe4d940525881a6,CNC-S04-L05-02,cnc,TWF,tool_wear_failure,1089,1258,27,7,medium,0.6251
ISS-7c6717529791e813,CNC-S04-L05-03,cnc,PWF,power_failure,986,1907,14,4,medium,0.6367
ISS-f21c26bba58f5dcb,CNC-S04-L05-03,cnc,TWF,tool_wear_failure,1048,1743,34,4,medium,0.6581
ISS-9648b996b110f0dd,CNC-S04-L05-04,cnc,OSF,overstrain_failure,116,975,26,4,medium,0.5813
