maintenance_id,asset_id,maintenance_type,started_at,completed_at,tool_replaced,source_event_id
MNT-TOOL-CNC-S03-L03-01-0000205,CNC-S03-L03-01,planned_tool_change,2026-08-03T20:20:00+09:00,2026-08-03T20:50:00+09:00,1,
MNT-TOOL-CNC-S01-L04-03-0000206,CNC-S01-L04-03,planned_tool_change,2026-08-03T20:40:00+09:00,2026-08-03T21:10:00+09:00,1,
MNT-TOOL-CNC-S04-L05-01-0000206,CNC-S04-L05-01,planned_tool_change,2026-08-03T20:40:00+09:00,2026-08-03T21:10:00+09:00,1,
MNT-TOOL-CNC-S01-L03-01-0000207,CNC-S01-L03-01,planned_tool_change,2026-08-03T21:00:00+09:00,2026-08-03T21:30:00+09:00,1,
MNT-TOOL-CNC-S04-L04-03-0000207,CNC-S04-L04-03,planned_tool_change,2026-08-03T21:00:00+09:00,2026-08-03T21:30:00+09:00,1,
MNT-TOOL-CNC-S01-L04-02-0000208,CNC-S01-L04-02,planned_tool_change,2026-08-03T21:20:00+09:00,2026-08-03T21:50:00+09:00,1,
MNT-TOOL-CNC-S04-L03-02-0000209,CNC-S04-L03-02,planned_tool_change,2026-08-03T21:40:00+09:00,2026-08-03T22:10:00+09:00,1,
MNT-TOOL-CNC-S01-L03-04-0000213,CNC-S01-L03-04,planned_tool_change,2026-08-03T23:00:00+09:00,2026-08-03T23:30:00+09:00,1,
MNT-TOOL-CNC-S03-L05-03-0000213,CNC-S03-L05-03,planned_tool_change,2026-08-03T23:00:00+09:00,2026-08-03T23:30:00+09:00,1,
MNT-TOOL-CNC-S04-L02-01-0000213,CNC-S04-L02-01,planned_tool_change,2026-08-03T23:00:00+09:00,2026-08-03T23:30:00+09:00,1,
MNT-TOOL-CNC-S03-L02-04-0000215,CNC-S03-L02-04,planned_tool_change,2026-08-03T23:40:00+09:00,2026-08-04T00:10:00+09:00,1,
MNT-TOOL-CNC-S03-L05-01-0000215,CNC-S03-L05-01,planned_tool_change,2026-08-03T23:40:00+09:00,2026-08-04T00:10:00+09:00,1,
MNT-EVT-c297620393846075-001,CNC-S04-L05-01,failure_recovery,2026-08-04T00:00:00+09:00,2026-08-04T08:00:00+09:00,0,EVT-c297620393846075-001
MNT-TOOL-CNC-S02-L04-03-0000217,CNC-S02-L04-03,planned_tool_change,2026-08-04T00:20:00+09:00,2026-08-04T00:50:00+09:00,1,
MNT-TOOL-CNC-S02-L02-04-0000219,CNC-S02-L02-04,planned_tool_change,2026-08-04T01:00:00+09:00,2026-08-04T01:30:00+09:00,1,
MNT-TOOL-CNC-S02-L04-02-0000219,CNC-S02-L04-02,planned_tool_change,2026-08-04T01:00:00+09:00,2026-08-04T01:30:00+09:00,1,
MNT-TOOL-CNC-S01-L05-03-0000221,CNC-S01-L05-03,planned_tool_change,2026-08-04T01:40:00+09:00,2026-08-04T02:10:00+09:00,1,
MNT-TOOL-CNC-S01-L02-02-0000222,CNC-S01-L02-02,planned_tool_change,2026-08-04T02:00:00+09:00,2026-08-04T02:30:00+09:00,1,
MNT-TOOL-CNC-S03-L05-02-0000222,CNC-S03-L05-02,planned_tool_change,2026-08-04T02:00:00+09:00,2026-08-04T02:30:00+09:00,1,
MNT-EVT-668b89a7e32444dd-001,CNC-S03-L03-04,failure_recovery,2026-08-04T02:10:00+09:00,2026-08-04T10:00:00+09:00,1,EVT-668b89a7e32444dd-001
MNT-TOOL-CNC-S01-L01-03-0000223,CNC-S01-L01-03,planned_tool_change,2026-08-04T02:20:00+09:00,2026-08-04T02:50:00+09:00,1,
MNT-TOOL-CNC-S02-L01-04-0000223,CNC-S02-L01-04,planned_tool_change,2026-08-04T02:20:00+09:00,2026-08-04T02:50:00+09:00,1,
MNT-TOOL-CNC-S02-L03-01-0000223,CNC-S02-L03-01,planned_tool_change,2026-08-04T02:20:00+09:00,2026-08-04T02:50:00+09:00,1,
MNT-TOOL-CNC-S02-L03-04-0000224,CNC-S02-L03-04,planned_tool_change,2026-08-04T02:40:00+09:00,2026-08-04T03:10:00+09:00,1,
MNT-TOOL-CNC-S04-L04-01-0000224,CNC-S04-L04-01,planned_tool_change,2026-08-04T02:40:00+09:00,2026-08-04T03:10:00+09:00,1,
MNT-TOOL-CNC-S01-L02-03-0000225,CNC-S01-L02-03,planned_tool_change,2026-08-04T03:00:00+09:00,2026-08-04T03:30:00+09:00,1,
MNT-TOOL-CNC-S02-L05-03-0000226,CNC-S02-L05-03,planned_tool_change,2026-08-04T03:20:00+09:00,2026-08-04T03:50:00+09:00,1,
MNT-TOOL-CNC-S01-L01-01-0000227,CNC-S01-L01-01,planned_tool_change,2026-08-04T03:40:00+09:00,2026-08-04T04:10:00+09:00,1,
MNT-TOOL-CNC-S03-L04-04-0000227,CNC-S03-L04-04,planned_tool_change,2026-08-04T03:40:00+09:00,2026-08-04T04:10:00+09:00,1,
MNT-TOOL-CNC-S02-L01-01-0000229,CNC-S02-L01-01,planned_tool_change,2026-08-04T04:20:00+09:00,2026-08-04T04:50:00+09:00,1,
MNT-TOOL-CNC-S03-L04-01-0000231,CNC-S03-L04-01,planned_tool_change,2026-08-04T05:00:00+09:00,2026-08-04T05:30:00+09:00,1,
MNT-TOOL-CNC-S04-L04-04-0000231,CNC-S04-L04-04,planned_tool_change,2026-08-04T05:00:00+09:00,2026-08-04T05:30:00+09:00,1,
MNT-EVT-5a411b83ac9e48c8-001,CMP-S02-L04-01,failure_recovery,2026-08-04T05:00:00+09:00,2026-08-04T09:00:00+09:00,0,EVT-5a411b83ac9e48c8-001
MNT-TOOL-CNC-S02-L05-02-0000232,CNC-S02-L05-02,planned_tool_change,2026-08-04T05:20:00+09:00,2026-08-04T05:50:00+09:00,1,
MNT-TOOL-CNC-S03-L04-02-0000232,CNC-S03-L04-02,planned_tool_change,2026-08-04T05:20:00+09:00,2026-08-04T05:50:00+09:00,1,
MNT-TOOL-CNC-S04-L02-02-0000232,CNC-S04-L02-02,planned_tool_change,2026-08-04T05:20:00+09:00,2026-08-04T05:50:00+09:00,1,
MNT-TOOL-CNC-S04-L01-03-0000233,CNC-S04-L01-03,planned_tool_change,2026-08-04T05:40:00+09:00,2026-08-04T06:10:00+09:00,1,
MNT-TOOL-CNC-S04-L05-02-0000233,CNC-S04-L05-02,planned_tool_change,2026-08-04T05:40:00+09:00,2026-08-04T06:10:00+09:00,1,
MNT-TOOL-CNC-S03-L04-03-0000234,CNC-S03-L04-03,planned_tool_change,2026-08-04T06:00:00+09:00,2026-08-04T06:30:00+09:00,1,
MNT-TOOL-CNC-S02-L02-01-0000235,CNC-S02-L02-01,planned_tool_change,2026-08-04T06:20:00+09:00,2026-08-04T06:50:00+09:00,1,
MNT-TOOL-CNC-S02-L02-02-0000235,CNC-S02-L02-02,planned_tool_change,2026-08-04T06:20:00+09:00,2026-08-04T06:50:00+09:00,1,
MNT-TOOL-CNC-S04-L03-03-0000235,CNC-S04-L03-03,planned_tool_change,2026-08-04T06:20:00+09:00,2026-08-04T06:50:00+09:00,1,
MNT-TOOL-CNC-S03-L01-04-0000236,CNC-S03-L01-04,planned_tool_change,2026-08-04T06:40:00+09:00,2026-08-04T07:10:00+09:00,1,
MNT-TOOL-CNC-S02-L04-01-0000237,CNC-S02-L04-01,planned_tool_change,2026-08-04T07:00:00+09:00,2026-08-04T07:30:00+09:00,1,
MNT-TOOL-CNC-S03-L02-02-0000239,CNC-S03-L02-02,planned_tool_change,2026-08-04T07:40:00+09:00,2026-08-04T08:10:00+09:00,1,
MNT-EVT-de540c782552b31e-001,CNC-S02-L05-02,failure_recovery,2026-08-04T08:00:00+09:00,2026-08-04T10:00:00+09:00,0,EVT-de540c782552b31e-001
MNT-TOOL-CNC-S03-L01-01-0000241,CNC-S03-L01-01,planned_tool_change,2026-08-04T08:20:00+09:00,2026-08-04T08:50:00+09:00,1,
MNT-TOOL-CNC-S03-L02-01-0000241,CNC-S03-L02-01,planned_tool_change,2026-08-04T08:20:00+09:00,2026-08-04T08:50:00+09:00,1,
MNT-TOOL-CNC-S04-L05-03-0000241,CNC-S04-L05-03,planned_tool_change,2026-08-04T08:20:00+09:00,2026-08-04T08:50:00+09:00,1,
MNT-TOOL-CNC-S01-L05-01-0000242,CNC-S01-L05-01,planned_tool_change,2026-08-04T08:40:00+09:00,2026-08-04T09:10:00+09:00,1,
MNT-TOOL-CNC-S02-L02-03-0000242,CNC-S02-L02-03,planned_tool_change,2026-08-04T08:40:00+09:00,2026-08-04T09:10:00+09:00,1,
MNT-TOOL-CNC-S02-L04-04-0000242,CNC-S02-L04-04,planned_tool_change,2026-08-04T08:40:00+09:00,2026-08-04T09:10:00+09:00,1,
MNT-TOOL-CNC-S01-L01-02-0000243,CNC-S01-L01-02,planned_tool_change,2026-08-04T09:00:00+09:00,2026-08-04T09:30:00+09:00,1,
MNT-TOOL-CNC-S01-L02-04-0000243,CNC-S01-L02-04,planned_tool_change,2026-08-04T09:00:00+09:00,2026-08-04T09:30:00+09:00,1,
MNT-TOOL-CNC-S03-L03-02-0000243,CNC-S03-L03-02,planned_tool_change,2026-08-04T09:00:00+09:00,2026-08-04T09:30:00+09:00,1,
MNT-TOOL-CNC-S04-L01-01-0000243,CNC-S04-L01-01,planned_tool_change,2026-08-04T09:00:00+09:00,2026-08-04T09:30:00+09:00,1,
MNT-TOOL-CNC-S04-L05-04-0000243,CNC-S04-L05-04,planned_tool_change,2026-08-04T09:00:00+09:00,2026-08-04T09:30:00+09:00,1,
MNT-TOOL-CNC-S02-L01-03-0000244,CNC-S02-L01-03,planned_tool_change,2026-08-04T09:20:00+09:00,2026-08-04T09:50:00+09:00,1,
MNT-TOOL-CNC-S03-L03-03-0000244,CNC-S03-L03-03,planned_tool_change,2026-08-04T09:20:00+09:00,2026-08-04T09:50:00+09:00,1,
MNT-TOOL-CNC-S04-L01-04-0000244,CNC-S04-L01-04,planned_tool_change,2026-08-04T09:20:00+09:00,2026-08-04T09:50:00+09:00,1,
MNT-TOOL-CNC-S04-L01-02-0000246,CNC-S04-L01-02,planned_tool_change,2026-08-04T10:00:00+09:00,2026-08-04T10:30:00+09:00,1,
MNT-TOOL-CNC-S04-L02-03-0000246,CNC-S04-L02-03,planned_tool_change,2026-08-04T10:00:00+09:00,2026-08-04T10:30:00+09:00,1,
MNT-TOOL-CNC-S03-L01-03-0000249,CNC-S03-L01-03,planned_tool_change,2026-08-04T11:00:00+09:00,2026-08-04T11:30:00+09:00,1,
MNT-TOOL-CNC-S01-L02-01-0000251,CNC-S01-L02-01,planned_tool_change,2026-08-04T11:40:00+09:00,2026-08-04T12:10:00+09:00,1,
MNT-TOOL-CNC-S02-L03-02-0000230,CNC-S02-L03-02,planned_tool_change,2026-08-04T11:40:00+09:00,2026-08-04T12:10:00+09:00,1,
MNT-TOOL-CNC-S02-L03-03-0000251,CNC-S02-L03-03,planned_tool_change,2026-08-04T11:40:00+09:00,2026-08-04T12:10:00+09:00,1,
MNT-TOOL-CNC-S02-L05-04-0000251,CNC-S02-L05-04,planned_tool_change,2026-08-04T11:40:00+09:00,2026-08-04T12:10:00+09:00,1,
MNT-TOOL-CNC-S03-L05-04-0000251,CNC-S03-L05-04,planned_tool_change,2026-08-04T11:40:00+09:00,2026-08-04T12:10:00+09:00,1,
MNT-EVT-44bf7579bba74ac0-001,CNC-S02-L02-03,failure_recovery,2026-08-05T09:10:00+09:00,2026-08-05T15:00:00+09:00,1,EVT-44bf7579bba74ac0-001
MNT-EVT-7abda51917a720e5-001,CMP-S04-L01-01,failure_recovery,2026-08-05T09:00:00+09:00,2026-08-05T21:00:00+09:00,0,EVT-7abda51917a720e5-001
MNT-EVT-4cbe8fe1c869620f-001,CNC-S04-L05-01,failure_recovery,2026-08-05T16:00:00+09:00,2026-08-05T21:00:00+09:00,0,EVT-4cbe8fe1c869620f-001
MNT-EVT-a72ea80641d176e1-001,CMP-S03-L05-01,failure_recovery,2026-08-05T18:00:00+09:00,2026-08-05T22:00:00+09:00,0,EVT-a72ea80641d176e1-001
MNT-EVT-9648b996b110f0dd-001,CNC-S04-L05-04,failure_recovery,2026-08-05T20:10:00+09:00,2026-08-06T00:00:00+09:00,1,EVT-9648b996b110f0dd-001
MNT-EVT-ad57fe2086a6b96d-001,CNC-S02-L02-01,failure_recovery,2026-08-06T06:10:00+09:00,2026-08-06T12:00:00+09:00,1,EVT-ad57fe2086a6b96d-001
MNT-EVT-84f95b771bf57c0e-001,CMP-S03-L02-01,failure_recovery,2026-08-06T11:00:00+09:00,2026-08-06T19:00:00+09:00,0,EVT-84f95b771bf57c0e-001
MNT-TOOL-CNC-S01-L05-02-0000401,CNC-S01-L05-02,planned_tool_change,2026-08-06T14:10:00+09:00,2026-08-06T14:40:00+09:00,1,
MNT-TOOL-CNC-S04-L04-02-0000403,CNC-S04-L04-02,planned_tool_change,2026-08-06T14:50:00+09:00,2026-08-06T15:20:00+09:00,1,
MNT-TOOL-CNC-S01-L05-04-0000404,CNC-S01-L05-04,planned_tool_change,2026-08-06T15:10:00+09:00,2026-08-06T15:40:00+09:00,1,
MNT-TOOL-CNC-S04-L03-01-0000404,CNC-S04-L03-01,planned_tool_change,2026-08-06T15:10:00+09:00,2026-08-06T15:40:00+09:00,1,
MNT-TOOL-CNC-S01-L04-03-0000405,CNC-S01-L04-03,planned_tool_change,2026-08-06T15:30:00+09:00,2026-08-06T16:00:00+09:00,1,
MNT-TOOL-CNC-S03-L03-01-0000405,CNC-S03-L03-01,planned_tool_change,2026-08-06T15:30:00+09:00,2026-08-06T16:00:00+09:00,1,
MNT-TOOL-CNC-S01-L03-01-0000409,CNC-S01-L03-01,planned_tool_change,2026-08-06T16:50:00+09:00,2026-08-06T17:20:00+09:00,1,
MNT-TOOL-CNC-S01-L04-01-0000409,CNC-S01-L04-01,planned_tool_change,2026-08-06T16:50:00+09:00,2026-08-06T17:20:00+09:00,1,
MNT-TOOL-CNC-S02-L05-01-0000409,CNC-S02-L05-01,planned_tool_change,2026-08-06T16:50:00+09:00,2026-08-06T17:20:00+09:00,1,
MNT-TOOL-CNC-S04-L03-02-0000411,CNC-S04-L03-02,planned_tool_change,2026-08-06T17:30:00+09:00,2026-08-06T18:00:00+09:00,1,
MNT-TOOL-CNC-S01-L03-02-0000414,CNC-S01-L03-02,planned_tool_change,2026-08-06T18:30:00+09:00,2026-08-06T19:00:00+09:00,1,
MNT-TOOL-CNC-S01-L04-02-0000414,CNC-S01-L04-02,planned_tool_change,2026-08-06T18:30:00+09:00,2026-08-06T19:00:00+09:00,1,
MNT-TOOL-CNC-S03-L02-03-0000414,CNC-S03-L02-03,planned_tool_change,2026-08-06T18:30:00+09:00,2026-08-06T19:00:00+09:00,1,
MNT-TOOL-CNC-S03-L01-02-0000415,CNC-S03-L01-02,planned_tool_change,2026-08-06T18:50:00+09:00,2026-08-06T19:20:00+09:00,1,
MNT-TOOL-CNC-S01-L02-03-0000416,CNC-S01-L02-03,planned_tool_change,2026-08-06T19:10:00+09:00,2026-08-06T19:40:00+09:00,1,
MNT-TOOL-CNC-S02-L02-04-0000424,CNC-S02-L02-04,planned_tool_change,2026-08-06T21:50:00+09:00,2026-08-06T22:20:00+09:00,1,
MNT-EVT-bb9be28a39a13612-001,CNC-S01-L04-04,failure_recovery,2026-08-06T22:10:00+09:00,2026-08-07T01:00:00+09:00,1,EVT-bb9be28a39a13612-001
MNT-TOOL-CNC-S02-L02-02-0000427,CNC-S02-L02-02,planned_tool_change,2026-08-06T22:50:00+09:00,2026-08-06T23:20:00+09:00,1,
MNT-TOOL-CNC-S04-L02-01-0000431,CNC-S04-L02-01,planned_tool_change,2026-08-07T00:10:00+09:00,2026-08-07T00:40:00+09:00,1,
MNT-TOOL-CNC-S04-L03-04-0000431,CNC-S04-L03-04,planned_tool_change,2026-08-07T00:10:00+09:00,2026-08-07T00:40:00+09:00,1,
MNT-TOOL-CNC-S01-L05-03-0000433,CNC-S01-L05-03,planned_tool_change,2026-08-07T00:50:00+09:00,2026-08-07T01:20:00+09:00,1,
MNT-TOOL-CNC-S04-L01-04-0000434,CNC-S04-L01-04,planned_tool_change,2026-08-07T01:10:00+09:00,2026-08-07T01:40:00+09:00,1,
MNT-TOOL-CNC-S02-L01-02-0000435,CNC-S02-L01-02,planned_tool_change,2026-08-07T01:30:00+09:00,2026-08-07T02:00:00+09:00,1,
MNT-TOOL-CNC-S02-L05-03-0000435,CNC-S02-L05-03,planned_tool_change,2026-08-07T01:30:00+09:00,2026-08-07T02:00:00+09:00,1,
MNT-TOOL-CNC-S04-L01-03-0000435,CNC-S04-L01-03,planned_tool_change,2026-08-07T01:30:00+09:00,2026-08-07T02:00:00+09:00,1,
MNT-TOOL-CNC-S01-L01-02-0000436,CNC-S01-L01-02,planned_tool_change,2026-08-07T01:50:00+09:00,2026-08-07T02:20:00+09:00,1,
MNT-EVT-bc7da362e9d6c673-001,CNC-S04-L04-04,failure_recovery,2026-08-07T02:00:00+09:00,2026-08-07T05:00:00+09:00,0,EVT-bc7da362e9d6c673-001
MNT-TOOL-CNC-S03-L05-03-0000438,CNC-S03-L05-03,planned_tool_change,2026-08-07T02:30:00+09:00,2026-08-07T03:00:00+09:00,1,
MNT-TOOL-CNC-S04-L05-01-0000399,CNC-S04-L05-01,planned_tool_change,2026-08-07T02:30:00+09:00,2026-08-07T03:00:00+09:00,1,
MNT-TOOL-CNC-S03-L05-02-0000440,CNC-S03-L05-02,planned_tool_change,2026-08-07T03:10:00+09:00,2026-08-07T03:40:00+09:00,1,
MNT-TOOL-CNC-S02-L05-04-0000441,CNC-S02-L05-04,planned_tool_change,2026-08-07T03:30:00+09:00,2026-08-07T04:00:00+09:00,1,
MNT-TOOL-CNC-S03-L01-01-0000442,CNC-S03-L01-01,planned_tool_change,2026-08-07T03:50:00+09:00,2026-08-07T04:20:00+09:00,1,
MNT-TOOL-CNC-S03-L02-04-0000442,CNC-S03-L02-04,planned_tool_change,2026-08-07T03:50:00+09:00,2026-08-07T04:20:00+09:00,1,
MNT-TOOL-CNC-S04-L04-03-0000444,CNC-S04-L04-03,planned_tool_change,2026-08-07T04:30:00+09:00,2026-08-07T05:00:00+09:00,1,
MNT-TOOL-CNC-S03-L02-01-0000445,CNC-S03-L02-01,planned_tool_change,2026-08-07T04:50:00+09:00,2026-08-07T05:20:00+09:00,1,
MNT-TOOL-CNC-S03-L04-04-0000445,CNC-S03-L04-04,planned_tool_change,2026-08-07T04:50:00+09:00,2026-08-07T05:20:00+09:00,1,
MNT-TOOL-CNC-S04-L02-04-0000445,CNC-S04-L02-04,planned_tool_change,2026-08-07T04:50:00+09:00,2026-08-07T05:20:00+09:00,1,
MNT-TOOL-CNC-S01-L01-04-0000446,CNC-S01-L01-04,planned_tool_change,2026-08-07T05:10:00+09:00,2026-08-07T05:40:00+09:00,1,
MNT-TOOL-CNC-S02-L03-01-0000446,CNC-S02-L03-01,planned_tool_change,2026-08-07T05:10:00+09:00,2026-08-07T05:40:00+09:00,1,
MNT-TOOL-CNC-S01-L03-03-0000447,CNC-S01-L03-03,planned_tool_change,2026-08-07T05:30:00+09:00,2026-08-07T06:00:00+09:00,1,
MNT-TOOL-CNC-S04-L01-01-0000447,CNC-S04-L01-01,planned_tool_change,2026-08-07T05:30:00+09:00,2026-08-07T06:00:00+09:00,1,
MNT-TOOL-CNC-S01-L02-02-0000448,CNC-S01-L02-02,planned_tool_change,2026-08-07T05:50:00+09:00,2026-08-07T06:20:00+09:00,1,
MNT-TOOL-CNC-S02-L03-03-0000449,CNC-S02-L03-03,planned_tool_change,2026-08-07T06:10:00+09:00,2026-08-07T06:40:00+09:00,1,
MNT-TOOL-CNC-S02-L04-02-0000450,CNC-S02-L04-02,planned_tool_change,2026-08-07T06:30:00+09:00,2026-08-07T07:00:00+09:00,1,
MNT-TOOL-CNC-S04-L05-02-0000450,CNC-S04-L05-02,planned_tool_change,2026-08-07T06:30:00+09:00,2026-08-07T07:00:00+09:00,1,
MNT-TOOL-CNC-S02-L04-01-0000451,CNC-S02-L04-01,planned_tool_change,2026-08-07T06:50:00+09:00,2026-08-07T07:20:00+09:00,1,
MNT-TOOL-CNC-S04-L03-03-0000451,CNC-S04-L03-03,planned_tool_change,2026-08-07T06:50:00+09:00,2026-08-07T07:20:00+09:00,1,
MNT-TOOL-CNC-S04-L04-01-0000451,CNC-S04-L04-01,planned_tool_change,2026-08-07T06:50:00+09:00,2026-08-07T07:20:00+09:00,1,
MNT-TOOL-CNC-S02-L01-01-0000453,CNC-S02-L01-01,planned_tool_change,2026-08-07T07:30:00+09:00,2026-08-07T08:00:00+09:00,1,
MNT-TOOL-CNC-S04-L01-02-0000454,CNC-S04-L01-02,planned_tool_change,2026-08-07T07:50:00+09:00,2026-08-07T08:20:00+09:00,1,
MNT-TOOL-CNC-S02-L01-04-0000456,CNC-S02-L01-04,planned_tool_change,2026-08-07T08:30:00+09:00,2026-08-07T09:00:00+09:00,1,
MNT-TOOL-CNC-S02-L04-03-0000457,CNC-S02-L04-03,planned_tool_change,2026-08-07T08:50:00+09:00,2026-08-07T09:20:00+09:00,1,
MNT-TOOL-CNC-S03-L01-03-0000457,CNC-S03-L01-03,planned_tool_change,2026-08-07T08:50:00+09:00,2026-08-07T09:20:00+09:00,1,
MNT-TOOL-CNC-S04-L02-02-0000458,CNC-S04-L02-02,planned_tool_change,2026-08-07T09:10:00+09:00,2026-08-07T09:40:00+09:00,1,
MNT-TOOL-CNC-S01-L03-04-0000461,CNC-S01-L03-04,planned_tool_change,2026-08-07T10:10:00+09:00,2026-08-07T10:40:00+09:00,1,
MNT-TOOL-CNC-S01-L05-01-0000462,CNC-S01-L05-01,planned_tool_change,2026-08-07T10:30:00+09:00,2026-08-07T11:00:00+09:00,1,
MNT-TOOL-CNC-S03-L05-01-0000462,CNC-S03-L05-01,planned_tool_change,2026-08-07T10:30:00+09:00,2026-08-07T11:00:00+09:00,1,
MNT-TOOL-CNC-S03-L02-02-0000463,CNC-S03-L02-02,planned_tool_change,2026-08-07T10:50:00+09:00,2026-08-07T11:20:00+09:00,1,
MNT-TOOL-CNC-S01-L01-01-0000464,CNC-S01-L01-01,planned_tool_change,2026-08-07T11:10:00+09:00,2026-08-07T11:40:00+09:00,1,
MNT-EVT-5ffec92f9e2d6dd1-001,CNC-S01-L03-03,failure_recovery,2026-08-07T11:00:00+09:00,2026-08-07T16:00:00+09:00,0,EVT-5ffec92f9e2d6dd1-001
MNT-TOOL-CNC-S03-L01-04-0000464,CNC-S03-L01-04,planned_tool_change,2026-08-07T11:10:00+09:00,2026-08-07T11:40:00+09:00,1,
MNT-TOOL-CNC-S02-L05-02-0000459,CNC-S02-L05-02,planned_tool_change,2026-08-07T11:30:00+09:00,2026-08-07T12:00:00+09:00,1,
MNT-TOOL-CNC-S03-L03-04-0000446,CNC-S03-L03-04,planned_tool_change,2026-08-07T12:30:00+09:00,2026-08-07T13:00:00+09:00,1,
MNT-TOOL-CNC-S01-L01-03-0000470,CNC-S01-L01-03,planned_tool_change,2026-08-07T13:10:00+09:00,2026-08-07T13:40:00+09:00,1,
MNT-TOOL-CNC-S02-L03-04-0000470,CNC-S02-L03-04,planned_tool_change,2026-08-07T13:10:00+09:00,2026-08-07T13:40:00+09:00,1,
MNT-TOOL-CNC-S03-L04-01-0000470,CNC-S03-L04-01,planned_tool_change,2026-08-07T13:10:00+09:00,2026-08-07T13:40:00+09:00,1,
MNT-TOOL-CNC-S03-L04-02-0000470,CNC-S03-L04-02,planned_tool_change,2026-08-07T13:10:00+09:00,2026-08-07T13:40:00+09:00,1,
MNT-TOOL-CNC-S03-L03-03-0000471,CNC-S03-L03-03,planned_tool_change,2026-08-07T13:30:00+09:00,2026-08-07T14:00:00+09:00,1,
MNT-TOOL-CNC-S03-L03-02-0000472,CNC-S03-L03-02,planned_tool_change,2026-08-07T13:50:00+09:00,2026-08-07T14:20:00+09:00,1,
MNT-TOOL-CNC-S03-L05-04-0000473,CNC-S03-L05-04,planned_tool_change,2026-08-07T14:10:00+09:00,2026-08-07T14:40:00+09:00,1,
MNT-TOOL-CNC-S04-L05-03-0000475,CNC-S04-L05-03,planned_tool_change,2026-08-07T14:50:00+09:00,2026-08-07T15:20:00+09:00,1,
MNT-TOOL-CNC-S04-L02-03-0000476,CNC-S04-L02-03,planned_tool_change,2026-08-07T15:10:00+09:00,2026-08-07T15:40:00+09:00,1,
MNT-TOOL-CNC-S03-L04-03-0000477,CNC-S03-L04-03,planned_tool_change,2026-08-07T15:30:00+09:00,2026-08-07T16:00:00+09:00,1,
MNT-TOOL-CNC-S02-L01-03-0000481,CNC-S02-L01-03,planned_tool_change,2026-08-07T16:50:00+09:00,2026-08-07T17:20:00+09:00,1,
