event_id,issue_id,asset_id,failure_mode,component,degradation_started_at,failure_occurred_at,maintenance_started_at,maintenance_completed_at,snr_profile,signal_strength,condition_variant
EVT-d0b79f5f73ba43c2-001,ISS-d0b79f5f73ba43c2,CNC-S02-L03-04,heat_dissipation_failure,HDF,2026-08-23T18:00:00+09:00,2026-08-24T12:00:00+09:00,2026-08-24T12:00:00+09:00,2026-08-24T18:00:00+09:00,medium,0.7944,hdf
EVT-aa58a3db9feda190-001,ISS-aa58a3db9feda190,CNC-S02-L04-01,heat_dissipation_failure,HDF,2026-09-06T11:00:00+09:00,2026-09-07T16:00:00+09:00,2026-09-07T16:00:00+09:00,2026-09-07T22:00:00+09:00,easy,0.9688,hdf
EVT-1b8620c0eafabb1a-001,ISS-1b8620c0eafabb1a,CNC-S02-L04-02,overstrain_failure,OSF,2026-09-01T23:00:00+09:00,2026-09-02T12:00:00+09:00,2026-09-02T12:10:00+09:00,2026-09-02T18:00:00+09:00,medium,0.666,osf
EVT-9a43bd3a8f94b7fd-001,ISS-9a43bd3a8f94b7fd,CNC-S02-L04-02,heat_dissipation_failure,HDF,2026-08-10T00:00:00+09:00,2026-08-10T23:00:00+09:00,2026-08-10T23:00:00+09:00,2026-08-11T06:00:00+09:00,easy,0.9757,hdf
EVT-c9adad2e4ee87cb0-001,ISS-c9adad2e4ee87cb0,CNC-S02-L04-03,overstrain_failure,OSF,2026-08-14T04:00:00+09:00,2026-08-15T11:00:00+09:00,2026-08-15T11:10:00+09:00,2026-08-15T14:00:00+09:00,hard,0.4148,osf
EVT-9f736b7f054989b2-001,ISS-9f736b7f054989b2,CNC-S02-L04-04,overstrain_failure,OSF,2026-09-01T17:00:00+09:00,2026-09-02T10:00:00+09:00,2026-09-02T10:10:00+09:00,2026-09-02T14:00:00+09:00,medium,0.6612,osf
EVT-15c53b705e117eac-001,ISS-15c53b705e117eac,CNC-S02-L05-01,heat_dissipation_failure,HDF,2026-08-27T02:00:00+09:00,2026-08-28T01:00:00+09:00,2026-08-28T01:00:00+09:00,2026-08-28T09:00:00+09:00,medium,0.6115,hdf
EVT-775fa2c26c107934-001,ISS-775fa2c26c107934,CNC-S02-L05-01,power_failure,PWF,2026-08-07T02:00:00+09:00,2026-08-07T22:00:00+09:00,2026-08-07T22:00:00+09:00,2026-08-08T06:00:00+09:00,medium,0.7232,high_power
EVT-de540c782552b31e-001,ISS-de540c782552b31e,CNC-S02-L05-02,heat_dissipation_failure,HDF,2026-08-03T10:00:00+09:00,2026-08-04T08:00:00+09:00,2026-08-04T08:00:00+09:00,2026-08-04T10:00:00+09:00,hard,0.2575,hdf
EVT-a0f47d883f69c423-001,ISS-a0f47d883f69c423,CNC-S02-L05-03,random_failure,RNF,2026-08-26T19:00:00+09:00,2026-08-27T10:00:00+09:00,2026-08-27T10:00:00+09:00,2026-08-27T15:00:00+09:00,medium,0.7623,rnf
EVT-f0d2a1ebd5ad3f6d-001,ISS-f0d2a1ebd5ad3f6d,CNC-S02-L05-04,random_failure,RNF,2026-08-17T05:00:00+09:00,2026-08-18T05:00:00+09:00,2026-08-18T05:00:00+09:00,2026-08-18T09:00:00+09:00,easy,1.059,rnf
EVT-fdd4b687ecc1c84b-001,ISS-fdd4b687ecc1c84b,CNC-S03-L01-01,heat_dissipation_failure,HDF,2026-08-26T15:00:00+09:00,2026-08-28T02:00:00+09:00,2026-08-28T02:00:00+09:00,2026-08-28T08:00:00+09:00,medium,0.6603,hdf
EVT-9f496228c4f04d30-001,ISS-9f496228c4f04d30,CNC-S03-L01-02,heat_dissipation_failure,HDF,2026-09-06T03:00:00+09:00,2026-09-06T21:00:00+09:00,2026-09-06T21:00:00+09:00,2026-09-07T04:00:00+09:00,hard,0.349,hdf
EVT-5a49ab5a4eeb5fa3-001,ISS-5a49ab5a4eeb5fa3,CNC-S03-L01-04,power_failure,PWF,2026-09-09T18:00:00+09:00,2026-09-10T16:00:00+09:00,2026-09-10T16:00:00+09:00,2026-09-10T21:00:00+09:00,medium,0.6077,high_power
EVT-618c201baa0a73fa-001,ISS-618c201baa0a73fa,CNC-S03-L02-01,overstrain_failure,OSF,2026-08-27T11:00:00+09:00,2026-08-28T20:00:00+09:00,2026-08-28T20:10:00+09:00,2026-08-28T23:00:00+09:00,hard,0.2324,osf
EVT-6dcf34fd8c7a4760-001,ISS-6dcf34fd8c7a4760,CNC-S03-L02-01,random_failure,RNF,2026-08-07T05:00:00+09:00,2026-08-08T17:00:00+09:00,2026-08-08T17:00:00+09:00,2026-08-08T22:00:00+09:00,medium,0.72,rnf
EVT-603e0517d855a01b-001,ISS-603e0517d855a01b,CNC-S03-L02-02,overstrain_failure,OSF,2026-09-06T06:00:00+09:00,2026-09-07T18:00:00+09:00,2026-09-07T18:10:00+09:00,2026-09-07T21:00:00+09:00,easy,1.1895,osf
EVT-004d5935350b4afb-001,ISS-004d5935350b4afb,CNC-S03-L02-03,power_failure,PWF,2026-08-11T15:00:00+09:00,2026-08-12T20:00:00+09:00,2026-08-12T20:00:00+09:00,2026-08-13T04:00:00+09:00,easy,0.9833,high_power
EVT-f0c2d0dce47cd070-001,ISS-f0c2d0dce47cd070,CNC-S03-L02-04,power_failure,PWF,2026-08-28T01:00:00+09:00,2026-08-29T08:00:00+09:00,2026-08-29T08:00:00+09:00,2026-08-29T16:00:00+09:00,hard,0.3348,high_power
EVT-2ecfc98059db3ec2-001,ISS-2ecfc98059db3ec2,CNC-S03-L03-01,heat_dissipation_failure,HDF,2026-08-21T09:00:00+09:00,2026-08-22T12:00:00+09:00,2026-08-22T12:00:00+09:00,2026-08-22T16:00:00+09:00,medium,0.7427,hdf
EVT-269396695ca7898a-001,ISS-269396695ca7898a,CNC-S03-L03-02,heat_dissipation_failure,HDF,2026-08-13T05:00:00+09:00,2026-08-13T19:00:00+09:00,2026-08-13T19:00:00+09:00,2026-08-13T22:00:00+09:00,easy,1.1235,hdf
EVT-668b89a7e32444dd-001,ISS-668b89a7e32444dd,CNC-S03-L03-04,overstrain_failure,OSF,2026-08-02T16:00:00+09:00,2026-08-04T02:00:00+09:00,2026-08-04T02:10:00+09:00,2026-08-04T10:00:00+09:00,hard,0.3267,osf
EVT-a4227f810c89921e-001,ISS-a4227f810c89921e,CNC-S03-L04-01,overstrain_failure,OSF,2026-08-24T11:00:00+09:00,2026-08-25T06:00:00+09:00,2026-08-25T06:10:00+09:00,2026-08-25T11:00:00+09:00,medium,0.655,osf
EVT-4185563444bb1226-001,ISS-4185563444bb1226,CNC-S03-L04-02,overstrain_failure,OSF,2026-09-10T04:00:00+09:00,2026-09-10T21:00:00+09:00,2026-09-10T21:10:00+09:00,2026-09-11T00:00:00+09:00,hard,0.3175,osf
EVT-dbee5072b39cbc4f-001,ISS-dbee5072b39cbc4f,CNC-S03-L04-03,power_failure,PWF,2026-08-08T15:00:00+09:00,2026-08-09T03:00:00+09:00,2026-08-09T03:00:00+09:00,2026-08-09T10:00:00+09:00,medium,0.784,low_power
EVT-49dce13474ab484a-001,ISS-49dce13474ab484a,CNC-S03-L04-04,heat_dissipation_failure,HDF,2026-09-09T01:00:00+09:00,2026-09-09T19:00:00+09:00,2026-09-09T19:00:00+09:00,2026-09-09T23:00:00+09:00,medium,0.7875,hdf
EVT-a451246b1d50e05c-001,ISS-a451246b1d50e05c,CNC-S03-L05-01,heat_dissipation_failure,HDF,2026-08-07T12:00:00+09:00,2026-08-08T19:00:00+09:00,2026-08-08T19:00:00+09:00,2026-08-08T22:00:00+09:00,easy,1.1174,hdf
EVT-c33d1e24c22a671f-001,ISS-c33d1e24c22a671f,CNC-S03-L05-02,heat_dissipation_failure,HDF,2026-09-01T15:00:00+09:00,2026-09-02T11:00:00+09:00,2026-09-02T11:00:00+09:00,2026-09-02T14:00:00+09:00,medium,0.8102,hdf
EVT-706c525edb14467f-001,ISS-706c525edb14467f,CNC-S03-L05-03,overstrain_failure,OSF,2026-08-10T08:00:00+09:00,2026-08-11T05:00:00+09:00,2026-08-11T05:10:00+09:00,2026-08-11T11:00:00+09:00,easy,1.028,osf
EVT-67211e509de4b761-001,ISS-67211e509de4b761,CNC-S03-L05-04,random_failure,RNF,2026-08-17T22:00:00+09:00,2026-08-19T08:00:00+09:00,2026-08-19T08:00:00+09:00,2026-08-19T10:00:00+09:00,medium,0.7743,rnf
EVT-633086043aeff462-001,ISS-633086043aeff462,CNC-S04-L01-01,heat_dissipation_failure,HDF,2026-09-07T08:00:00+09:00,2026-09-07T23:00:00+09:00,2026-09-07T23:00:00+09:00,2026-09-08T03:00:00+09:00,medium,0.7738,hdf
EVT-bad41c260a8632c5-001,ISS-bad41c260a8632c5,CNC-S04-L01-02,power_failure,PWF,2026-08-24T01:00:00+09:00,2026-08-25T09:00:00+09:00,2026-08-25T09:00:00+09:00,2026-08-25T15:00:00+09:00,hard,0.3184,low_power
EVT-cbccf127b9f3b35f-001,ISS-cbccf127b9f3b35f,CNC-S04-L01-03,power_failure,PWF,2026-08-23T21:00:00+09:00,2026-08-25T03:00:00+09:00,2026-08-25T03:00:00+09:00,2026-08-25T07:00:00+09:00,hard,0.3828,low_power
EVT-3e4ccf39f4951d1f-001,ISS-3e4ccf39f4951d1f,CNC-S04-L01-03,overstrain_failure,OSF,2026-09-09T15:00:00+09:00,2026-09-11T03:00:00+09:00,2026-09-11T03:10:00+09:00,2026-09-11T09:00:00+09:00,medium,0.6523,osf
EVT-924e8b9d1169417a-001,ISS-924e8b9d1169417a,CNC-S04-L01-04,tool_wear_failure,TWF,2026-09-11T21:00:00+09:00,2026-09-12T14:00:00+09:00,2026-09-12T14:10:00+09:00,2026-09-12T17:00:00+09:00,medium,0.6198,twf
EVT-952cf8b7d093bc5b-001,ISS-952cf8b7d093bc5b,CNC-S04-L02-01,power_failure,PWF,2026-09-10T15:00:00+09:00,2026-09-12T01:00:00+09:00,2026-09-12T01:00:00+09:00,2026-09-12T08:00:00+09:00,medium,0.671,low_power
EVT-de3d861d02f87aa2-001,ISS-de3d861d02f87aa2,CNC-S04-L02-01,heat_dissipation_failure,HDF,2026-08-21T18:00:00+09:00,2026-08-23T04:00:00+09:00,2026-08-23T04:00:00+09:00,2026-08-23T08:00:00+09:00,medium,0.6496,hdf
EVT-2b7894abb96a9fd7-001,ISS-2b7894abb96a9fd7,CNC-S04-L02-03,heat_dissipation_failure,HDF,2026-08-28T04:00:00+09:00,2026-08-28T22:00:00+09:00,2026-08-28T22:00:00+09:00,2026-08-29T00:00:00+09:00,medium,0.8067,hdf
EVT-b69c81d1369f15e6-001,ISS-b69c81d1369f15e6,CNC-S04-L03-01,heat_dissipation_failure,HDF,2026-08-30T01:00:00+09:00,2026-08-31T03:00:00+09:00,2026-08-31T03:00:00+09:00,2026-08-31T06:00:00+09:00,hard,0.2555,hdf
EVT-9cde3516c132a905-001,ISS-9cde3516c132a905,CNC-S04-L03-02,tool_wear_failure,TWF,2026-08-21T23:00:00+09:00,2026-08-22T23:00:00+09:00,2026-08-22T23:10:00+09:00,2026-08-23T01:00:00+09:00,medium,0.7353,twf
EVT-c7b4a1875a400048-001,ISS-c7b4a1875a400048,CNC-S04-L03-03,overstrain_failure,OSF,2026-08-22T14:00:00+09:00,2026-08-23T04:00:00+09:00,2026-08-23T04:10:00+09:00,2026-08-23T06:00:00+09:00,medium,0.6624,osf
EVT-14a39c01017654bd-001,ISS-14a39c01017654bd,CNC-S04-L03-04,power_failure,PWF,2026-09-08T10:00:00+09:00,2026-09-09T10:00:00+09:00,2026-09-09T10:00:00+09:00,2026-09-09T15:00:00+09:00,medium,0.7089,high_power
EVT-d7dd84367be92279-001,ISS-d7dd84367be92279,CNC-S04-L04-01,power_failure,PWF,2026-08-16T00:00:00+09:00,2026-08-16T19:00:00+09:00,2026-08-16T19:00:00+09:00,2026-08-17T01:00:00+09:00,easy,0.9507,high_power
EVT-a35af22b520b9c17-001,ISS-a35af22b520b9c17,CNC-S04-L04-02,power_failure,PWF,2026-08-21T05:00:00+09:00,2026-08-21T18:00:00+09:00,2026-08-21T18:00:00+09:00,2026-08-21T22:00:00+09:00,medium,0.7398,high_power
EVT-ce850ef276bca16b-001,ISS-ce850ef276bca16b,CNC-S04-L04-03,overstrain_failure,OSF,2026-08-17T21:00:00+09:00,2026-08-19T05:00:00+09:00,2026-08-19T05:10:00+09:00,2026-08-19T10:00:00+09:00,easy,1.0062,osf
EVT-bc7da362e9d6c673-001,ISS-bc7da362e9d6c673,CNC-S04-L04-04,heat_dissipation_failure,HDF,2026-08-06T12:00:00+09:00,2026-08-07T02:00:00+09:00,2026-08-07T02:00:00+09:00,2026-08-07T05:00:00+09:00,medium,0.7107,hdf
EVT-4cbe8fe1c869620f-001,ISS-4cbe8fe1c869620f,CNC-S04-L05-01,power_failure,PWF,2026-08-04T09:00:00+09:00,2026-08-05T16:00:00+09:00,2026-08-05T16:00:00+09:00,2026-08-05T21:00:00+09:00,medium,0.713,high_power
EVT-c297620393846075-001,ISS-c297620393846075,CNC-S04-L05-01,heat_dissipation_failure,HDF,2026-08-02T18:00:00+09:00,2026-08-04T00:00:00+09:00,2026-08-04T00:00:00+09:00,2026-08-04T08:00:00+09:00,medium,0.6228,hdf
EVT-7c6717529791e813-001,ISS-7c6717529791e813,CNC-S04-L05-03,power_failure,PWF,2026-09-10T12:00:00+09:00,2026-09-11T02:00:00+09:00,2026-09-11T02:00:00+09:00,2026-09-11T06:00:00+09:00,medium,0.6367,high_power
EVT-9648b996b110f0dd-001,ISS-9648b996b110f0dd,CNC-S04-L05-04,overstrain_failure,OSF,2026-08-04T18:00:00+09:00,2026-08-05T20:00:00+09:00,2026-08-05T20:10:00+09:00,2026-08-06T00:00:00+09:00,medium,0.5813,osf
